condition,metric,rl_mean,rl_std,baseline_mean,baseline_std,baseline_minus_rl
flat_0p4,rms_velocity_error,0.25824590601435343,0.0,0.03489361512838994,7.314236392868128e-18,-0.22335229088596348
flat_0p4,rms_roll,0.046236042945854906,7.314236392868128e-18,0.0069983403785759245,9.14279549108516e-19,-0.03923770256727898
flat_0p4,cot,0.535811118126243,0.0,2.44506014488815,0.0,1.909249026761907
flat_0p4,push_recovery_success,nan,nan,nan,nan,nan
flat_0p8,rms_velocity_error,0.13975632990612316,2.925694557147251e-17,0.21042153159138527,2.925694557147251e-17,0.07066520168526211
flat_0p8,rms_roll,0.013499343633408259,0.0,0.04401629755009619,0.0,0.030516953916687926
flat_0p8,cot,0.5192632495584182,1.1702778228589004e-16,5.684509470198739,9.362222582871203e-16,5.165246220640321
flat_0p8,push_recovery_success,nan,nan,nan,nan,nan
push_flat_0p4,rms_velocity_error,0.2709057868908661,5.851389114294502e-17,0.03608791977197089,0.0,-0.23481786711889518
push_flat_0p4,rms_roll,0.04826439336289166,7.314236392868128e-18,0.00800616554182511,0.0,-0.04025822782106655
push_flat_0p4,cot,0.524144940893682,0.0,2.447330055840598,0.0,1.923185114946916
push_flat_0p4,push_recovery_success,0.0,0.0,1.0,0.0,1.0
push_terrain_0p4,rms_velocity_error,0.27123339553519055,5.851389114294502e-17,0.03608791977197089,0.0,-0.23514547576321965
push_terrain_0p4,rms_roll,0.04832497751645422,0.0,0.00800616554182511,0.0,-0.04031881197462911
push_terrain_0p4,cot,0.5258016962597223,0.0,2.447330055840598,0.0,1.9215283595808756
push_terrain_0p4,push_recovery_success,0.0,0.0,1.0,0.0,1.0
terrain_0p4,rms_velocity_error,0.25659606208454966,0.0,0.03489361512838994,7.314236392868128e-18,-0.2217024469561597
terrain_0p4,rms_roll,0.04562115607410793,0.0,0.0069983403785759245,9.14279549108516e-19,-0.038622815695532005
terrain_0p4,cot,0.5732787129702321,0.0,2.44506014488815,0.0,1.871781431917918
terrain_0p4,push_recovery_success,nan,nan,nan,nan,nan
terrain_0p8,rms_velocity_error,0.41163208286675335,0.0,0.21042153159138527,2.925694557147251e-17,-0.20121055127536808
terrain_0p8,rms_roll,1.0592049162979191,0.0,0.04401629755009619,0.0,-1.015188618747823
terrain_0p8,cot,0.9098094036438354,0.0,5.684509470198739,9.362222582871203e-16,4.774700066554903
terrain_0p8,push_recovery_success,nan,nan,nan,nan,nan
